"Cuenca","Subcuenca","Estación","year(Fecha)","n","failed_params","total_params","F2","F1","F3","ICA","Latitud","Longitud"
"MEDIA","AA de la Canada Pantanosa","ARROPANT2- 47",2023,14,0,10,0,0,0,100,-34.788745,-58.672091
"MEDIA","A° Aguirre","ARROAGUI- 10",2023,10,0,7,0,0,0,100,-34.8262278,-58.5790722
"MEDIA","A° Aguirre","ARROAGUI1- 82",2023,8,1,8,12.5,12.5,6.72645739910314,89.0795876437226,-34.885057,-58.561839
"MEDIA","A° Don Mario","ARRODMAR- 11",2023,15,1,10,13.3333333333333,10,6.720741599073,89.6243057629103,-34.73994,-58.563175
"MEDIA","A° Don Mario","ARRODUPUY- 77",2023,14,1,8,7.14285714285714,12.5,6.66666666666667,90.8397667288535,-34.75873,-58.57945
"MEDIA","A° Don Mario","ARROSUSANA- 76",2023,12,1,7,16.6666666666667,14.2857142857143,9.13282496896613,86.2728849028179,-34.754737,-58.574357
"MEDIA","A° Don Mario","CnalApipe- 83",2023,7,0,7,0,0,0,100,-34.784103,-58.59427
"MEDIA","A° Morales","ARROMORA- 8",2023,15,0,9,0,0,0,100,-34.797083,-58.63635
"MEDIA","A° Morales","ARROMORA2- 67",2023,9,0,9,0,0,0,100,-34.79401667,-58.67893611
"MEDIA","A° Morales","ARROMORADoSc- 48",2023,19,1,13,5.26315789473684,7.69230769230769,3.18471337579618,94.3131578823118,-34.785411,-58.646034
"MEDIA","A° Ortega","ARROORT1- 60",2023,11,0,11,0,0,0,100,-34.7615222,-58.5388583
"MEDIA","A° Ortega","ARROORT2- 63",2023,18,1,12,27.7777777777778,8.33333333333333,6.33060337348197,82.8615673845598,-34.8430833,-58.4783556
"MEDIA","A° Ortega","ARROROSSI- 71",2023,12,1,12,25,8.33333333333333,0.99592516891672,84.7741764020194,-34.80598889,-58.506225
"MEDIA","A° Santa Catalina","ArroSCat1- 81",2023,10,0,10,0,0,0,100,-34.773117,-58.467078
"MEDIA","A° del Rey","ARRODREYDrago",2023,18,1,6,27.7777777777778,16.6666666666667,17.0606187541141,78.8613618183915,-34.848409,-58.408365
"MEDIA","A° del Rey","ARRODREYJoseIng",2023,12,1,4,8.33333333333333,25,7.33590733590734,84.2065004787852,-34.859432,-58.412116
"MEDIA","A° del Rey","ARRODREYOrtiz",2023,18,1,6,33.3333333333333,16.6666666666667,11.5112047500479,77.4797425695776,-34.842308,-58.404962
"MEDIA","A° del Rey","ARRODREYRuta4",2023,18,1,6,27.7777777777778,16.6666666666667,10.2635615674243,80.3803571231471,-34.834189,-58.407591
"MEDIA","A° del Rey","BRAZODIOMEDEyRuta4",2023,17,1,7,29.4117647058824,14.2857142857143,9.23127216354776,80.3835303264489,-34.826658,-58.41949
"MEDIA","Río Matanza","AADEPUOEST- 73",2023,11,1,11,9.09090909090909,9.09090909090909,1.63576881134133,92.5172453751519,-34.72094444,-58.50438889
"MEDIA","Río Matanza","AGMOLINA- 6",2023,17,1,11,29.4117647058824,9.09090909090909,16.2448971848919,79.9030325665233,-34.836311,-58.621583
"MEDIA","Río Matanza","AUTORICH- 12",2023,17,1,10,23.5294117647059,10,8.09151749688791,84.5172347063448,-34.747654,-58.521887
"MEDIA","Río Matanza","DEPUOEST- 13",2023,19,1,13,15.7894736842105,7.69230769230769,4.3188334671696,89.557289748196,-34.7215167,-58.5023306
"MEDIA","Río Matanza","DESCROCHA- 72",2023,16,1,11,18.75,9.09090909090909,5.66438688247248,87.5324452507095,-34.7483028,-58.5215806
"MEDIA","Río Matanza","PTECOLOR- 15",2023,17,1,11,35.2941176470588,9.09090909090909,16.8316180954833,76.8215812275238,-34.726639,-58.483503
"ALTA","AA Chacon","ARROCHAC1- 34",2022,10,1,5,40,20,13.5333404655286,73.0229765054277,-34.90068889,-58.74951944
"ALTA","AA Navarrete y Canuelas","ARROCANU- 3",2022,28,1,13,14.2857142857143,7.69230769230769,6.82914109377334,89.8361985512604,-34.9153333,-58.6319833
